time,BatC1,BatC2
1565889100.1330001,455.93,458.27
1565889104.933,13.56,2.52
1565889110.933,889.23,876.35
1565889127.733,455.92,458.22
1565889131.333,13.55,2.43
1565889137.333,889.35,876.36
1565889154.1330001,455.93,458.19
1565889158.933,13.66,2.43
1565889164.933,889.4,876.26
1565889180.533,455.89,458.19
1565889185.333,13.6,2.55
1565889191.333,889.36,876.41
1565889208.1330001,455.89,458.23
1565889211.733,13.58,2.51
1565889217.733,889.24,876.4
1565889234.533,455.9,458.26
1565889239.333,13.62,2.5
1565889245.333,889.37,876.29
1565889260.933,455.95,458.19
1565889265.733,13.53,2.43
1565889271.733,889.23,876.25
1565889287.333,456.07,458.25
1565889292.1330001,13.56,2.45
1565889298.1330001,889.22,876.33
1565889314.933,455.91,458.19
1565889319.733,13.6,2.58
1565889325.733,889.26,876.44
1565889341.333,455.91,458.2
1565889346.1330001,13.63,2.4
1565889352.1330001,889.38,876.32
1565889367.733,455.89,458.2
1565889372.533,13.6,2.66
1565889378.533,889.43,876.0
1565889395.333,455.86,458.14
1565889400.1330001,13.53,2.07
1565889406.1330001,889.31,875.45
1565889421.733,455.95,458.23
1565889426.533,13.63,2.33
1565889432.533,889.29,875.7
1565889448.1330001,455.94,458.24
1565889452.933,13.56,2.13
1565889458.933,889.21,875.39
1565889475.733,455.9,458.2
1565889479.333,13.52,2.23
1565889485.333,889.18,875.61
1565889502.1330001,456.04,458.16
1565889506.933,13.49,2.09
1565889512.933,889.2,875.48
1565889528.533,456.02,458.18
1565889533.333,13.52,2.09
1565889539.333,889.13,875.45
1565889556.1330001,455.94,458.18
1565889559.733,13.63,2.19
1565889565.733,889.31,875.59
1565889582.533,456.1,458.2
1565889587.333,13.59,2.18
1565889593.333,889.33,875.59
1565889608.933,455.98,458.19
1565889613.733,13.68,2.31
1565889619.733,889.37,875.54
1565889635.333,456.01,458.18
1565889640.1330001,13.58,2.41
1565889646.1330001,889.35,875.74
1565889662.933,455.9,458.17
1565889667.733,13.59,2.0
1565889673.733,889.34,875.33
1565889689.333,455.93,458.17
1565889694.1330001,13.62,2.38
1565889700.1330001,889.4,876.23
1565889715.733,455.9,458.21
1565889720.533,13.6,2.38
1565889726.533,889.36,876.11
1565889743.333,455.89,458.22
1565889748.1330001,13.54,2.2
1565889754.1330001,889.36,875.98
1565889769.733,455.88,458.18
1565889774.533,13.59,2.35
1565889780.533,889.4,876.14
1565889796.1330001,455.91,458.22
1565889800.933,13.67,2.39
1565889806.933,889.48,876.18
1565889823.733,456.1,458.21
1565889827.333,13.63,2.42
1565889833.333,889.44,876.22
1565889850.1330001,455.92,458.21
1565889854.933,13.62,2.47
1565889860.933,889.35,876.15
1565889876.533,455.91,458.2
1565889881.333,13.64,2.22
1565889887.333,889.43,876.01
1565889904.1330001,455.93,458.24
1565889907.733,13.62,2.28
1565889913.733,889.38,876.0
1565889930.533,455.96,458.21
1565889935.333,13.64,2.4
1565889941.333,889.44,876.14
1565889956.933,455.89,458.23
1565889961.733,13.7,2.29
1565889967.733,889.54,876.08
1565889984.533,455.99,458.22
1565889988.1330001,13.69,2.4
1565889994.1330001,889.45,876.17
1565890010.933,455.92,458.22
1565890015.733,13.7,2.45
1565890021.733,889.48,876.17
1565890037.333,455.89,458.22
1565890042.1330001,13.58,2.34
1565890048.1330001,889.31,876.12
1565890063.733,455.98,458.25
1565890068.533,13.61,2.4
1565890074.533,889.4,876.14
1565890091.333,455.94,458.26
1565890096.1330001,13.63,2.26
1565890102.1330001,889.43,875.95
1565890117.733,455.88,458.23
1565890122.533,13.6,2.29
1565890128.533,889.45,876.01
1565890144.1330001,456.0,458.21
1565890148.933,13.6,2.47
1565890154.933,889.35,876.19
1565890171.733,455.94,458.24
1565890176.533,13.65,2.15
1565890182.533,889.56,875.81
1565890198.1330001,455.97,458.22
1565890202.933,13.66,2.38
1565890208.933,889.48,876.04
1565890224.533,455.93,458.2
1565890229.333,13.59,2.44
1565890235.333,889.43,876.12
